myth_id,inspiration_id,contribution
1,2,hosted Achilles' funerary games
1,6,purified Achilles; guarded Achilles' corpse with Ajax the Great; fought with Ajax the Great over Achilles' divine armor
1,7,killed Achilles with Apollo
1,23,killed Penthesilea; mocked by Thersites; killed Thersites; purified by Odysseus; guarded Antilochus' corpse from Memnon; killed Memnon; killed by Paris with Apollo
1,28,killed by Penthesilea
1,54,guarded Achilles' corpse with Odysseus; fought with Odysseus over Achilles' divine armor
1,60,rescued Nestor from Memnon; killed by Memnon
1,204,killed Achilles with Paris
1,231,rescued from Memnon by Antilochus
1,243,mourned Achilles
1,245,granted Memnon immortality
1,255,killed Machaon; killed by Achilles
1,257,almost killed Nestor; killed Antilochus; killed by Achilles
1,264,mourned Achilles
1,265,mourned Achilles
1,266,mourned Achilles
1,487,taunted Achilles; killed by Achilles
1,489,begged Zeus to grant Memnon immortality
2,1,"learned about Agamemnon, Odysseus, Ajax the Great, and Idomeneus from Helen; opened the gates of Troy for soldiers to escape Achilles; sent to retrieve Hector's corpse from Achilles with Hermes by Zeus; given Hector's corpse by Achilles"
2,2,"led 100 Argive ships; fought with Achilles over Briseis; seized Briseis from Achilles; opted to fight Hector, but lost to Ajax the Great; struck by Coön; killed Iphidamas and Coön; gave Briseis to Achilles; won a bronze cauldron and spear from Patroclus' funerary javelin-throwing contest"
2,3,"almost killed Paris; struck by Pandarus; healed by Machaon; opted to fight Hector, but lost to Ajax the Great; guarded Patroclus' corpse from Hector with Ajax the Great and Meriones; sent Antilochus to console Achilles; won a bronze cauldron from Patroclus' funerary chariot race"
2,5,led the Trojan contingent; refused Andromache; opted to fight Ajax the Great; almost killed by Ajax the Great; given a war-belt by Ajax the Great; gave a sword to Ajax the Great; rescued from Diomedes by Zeus; sent Dolon to spy on ships; almost killed by Diomedes; almost killed by Ajax the Great; rescued from Ajax the Great by Aeneas; killed Patroclus with Apollo; stole Achilles' divine armor; rescued from Achilles by Apollo; chased by Achilles; disoriented by Athena; killed by Achilles
2,6,"opted to fight Hector, but lost to Ajax the Great; captured Dolon with Diomedes; stole Thracian horses; won a captive from Patroclus' funerary wrestling match; won a silver bowl from Patroclus' funerary footrace"
2,7,rescued from Menelaus by Zeus; rescued from Menelaus by Aphrodite; bedded Helen; refused Antenor; struck Diomedes; struck Machaon
2,14,struck by Idomeneus; rescued from Idomeneus by Aeneas
2,19,
2,20,"identified Agamemnon, Odysseus, Ajax the Great, and Idomeneus for Priam; forced to bed Paris by Aphrodite"
2,23,"led 50 Thessalian ships; enslaved Briseis; fought with Agamemnon over Briseis, but forced to yield by Athena; withdrew with his contingent; gave his divine armor to Patroclus; consoled by Antilochus; given new divine armor from Hephaestus by Thetis; given Briseis by Agamemnon; almost killed Aeneas, Hector, and Agenor; rescued from Scamander by Hera and Hephaestus; chased Apollo; chased Hector; killed Hector; disrespected Hector's corpse; hosted Patroclus' funerary games; gave Hector's corpse to Priam"
2,28,led 30 Thessalian ships with Podalirius; healed Menelaus; struck by Paris
