id,name,counterpart,kingdom_id,timestamp
1,"""Athens""","""Attica""",3,2026-03-19 19:02:28.961153+00
2,"""Troezen""","""Attica""",3,2026-03-19 19:02:28.961153+00
3,"""Ithaca""",Ithaca,4,2026-03-19 19:02:28.961153+00
4,"""Sparta""","""Laconia""",2,2026-03-19 19:02:28.961153+00
5,"""Troy""","""Troad""",1,2026-03-19 19:02:28.961153+00
6,"""Same""",Same,4,2026-03-19 19:02:28.961153+00
7,"""Mount Ida""","""Troad""",1,2026-03-19 19:02:28.961153+00
11,"""Maedica""",Maedica,7,2026-03-19 19:02:28.961153+00
12,"""Mycenae""","""Argolis""",8,2026-03-19 19:02:28.961153+00
14,"""Bistonia""",Bistonia,7,2026-03-19 19:02:28.961153+00
15,"""West Thrace""",Western Thrace,7,2026-03-19 19:02:28.961153+00
21,"""Percote""","""Troad""",1,2026-03-19 19:02:28.961153+00
25,"""Crisa""","""Phocis""",3,2026-03-19 19:02:28.961153+00
26,"""Mount Parnassus""","""Phocis""",3,2026-03-19 19:02:28.961153+00
