id,name,pronunciation,gender,markers,inspiration_id,father,mother,homeland_id,status,meaning,notes,residence_id,timestamp,update_time
1,Endre I Lovassy,en-dreh loh-vah-shee,Male,[],1,,,5,King,"""manly, brave"" / ""of the horsekeepers""",[],5,2026-03-19 18:21:34.692405+00,
2,Durand Lyon,drr-and / lye-ohn,Male,[],2,"""Atreus""","""Aerope""",12,King,"""very steadfast"" / ""lion""",[],12,2026-03-19 18:21:34.692405+00,
3,Leopold Lyon,lee-oh-pold lye-ohn,Male,[],3,"""Atreus""","""Aerope""",12,King,"""bold among the people"" / ""lion""",[],4,2026-03-19 18:21:34.692405+00,
4,Ilona Lovassy,ee-loh-nah loh-vah-shee,Female,"[""Epoch""]",4,Endre I Lovassy,Mathilde Hirschfeld,5,Princess,"""light, torch"" / ""of the horsekeepers""",[],5,2026-03-19 18:21:34.692405+00,
5,Endre II Lovassy,en-dreh loh-vah-shee,Male,[],5,Endre I Lovassy,Mathilde Hirschfeld,5,Prince,"""manly, brave"" / ""of the horsekeepers""",[],5,2026-03-19 18:21:34.692405+00,
6,Oliver Hundslund,ah-lee-vrr / hoon-sluhn,Male,"[""Wayfinder""]",6,Folke Hundslund,Angharad Ladrini,3,Prince,"""olive tree"" / ""grove of dogs""","[""Wields the Bow of Eurytus, a palítonos (\""bent backwards\"") composite (made with horn, wood, and sinew) bow created by Apollo for Eurytus of Oechalia."",""Named by Autolycus, his grandfather and a son of Hermes. He was a master thief capable of shapeshifting and invisibility.""]",3,2026-03-19 18:21:34.692405+00,
7,Sándor Lovassy,shan-dor loh-vah-shee,Male,[],7,Endre I Lovassy,Mathilde Hirschfeld,5,Prince,"""defender of men"" / ""of the horsekeepers""",[],5,2026-03-19 18:21:34.692405+00,
8,Regina Lyon,reh-gee-nah / lye-ohn,Female,[],8,"""Atreus""","""Aerope""",12,Queen,"""queen"" / ""lion""",[],25,2026-03-19 18:21:34.692405+00,
9,Millicent Lyon,mill-ih-sent / lye-ohn,Female,[],9,Durand Lyon,Sophie Louvier,12,Princess,"""strong"" / ""lion""",[],12,2026-03-19 18:21:34.692405+00,
10,Amber Lyon,am-brr / lye-ohn,Female,[],10,Durand Lyon,Sophie Louvier,12,Princess,"""amber"" / ""lion""",[],25,2026-03-19 18:21:34.692405+00,
11,Montel Lyon,mohn-tell / lye-ohn,Male,"[""Vigil""]",11,Durand Lyon,Sophie Louvier,12,Prince,"""little mountain"" / ""lion""",[],12,2026-03-19 18:21:34.692405+00,
12,Giles Lyon,jy-ulls / lye-ohn,Male,[],12,,,12,Citizen,"""young goat"" / ""lion""",[],12,2026-03-19 18:21:34.692405+00,
13,Golda Lyon,gohl-dah / lye-ohn,Female,[],13,Durand Lyon,Sophie Louvier,12,Princess,"""gold, golden"" / ""lion""",[],12,2026-03-19 18:21:34.692405+00,
14,Lehel Lovassy,leh-hel loh-vah-shee,Male,[],14,Endre I Lovassy,Mathilde Hirschfeld,5,Prince,"""breath, lion"" / ""of the horsekeepers""",[],5,2026-03-19 18:21:34.692405+00,
15,Emrys Povah,em-riss / poh-vah,Male,[],15,Cadfael Povah,,1,Prince,"""immortal"" / ""owl-like""",[],1,2026-03-19 18:21:34.692405+00,
16,Taran Povah,tah-rahn / poh-vah,Male,[],16,Cadfael Povah,,1,Prince,"""thunder"" / ""owl-like""",[],1,2026-03-19 18:21:34.692405+00,
17,Heulwen Golau,hayl-wehn / gohl-ay,Female,[],17,,,2,Citizen,"""sunshine"" / ""light, bright""",[],1,2026-03-19 18:21:34.692405+00,
18,Cadfael Povah,cad-vyell / poh-vah,Male,[],18,,Heulwen Golau,2,King,"""battle lord"" / ""owl-like""",[],1,2026-03-19 18:21:34.692405+00,
19,Mathilde Hirschfeld,mah-til-duh hrrsh-fehld,Female,[],19,,,15,Queen,"""might in battle"" / ""field of stags""","[""Very motherly but appears cold and intimidating."",""Adores her children and spends time with all of them."",""Might be Sunnilde's surrogate aunt."",""Partially blinds Radulf for wronging Jolánta."",""Does not get along with Falko."",""Might like swords despite not being a swordsman.""]",5,2026-03-19 18:21:34.692405+00,
20,Selene Louvier,sehl-een / loo-vee-ay,Female,[],20,"""Zeus""","""Leda""",4,Queen,"""torch, moon""",[],4,2026-03-19 18:21:34.692405+00,
21,Penelope Louvier,peh-neh-loh-pee / loo-vee-ay,Female,[],21,Samson Louvier,Blandine Dupuis,4,Queen,"""threads"" / ""wolf hunter""",[],3,2026-03-19 18:21:34.692405+00,
24,Sophie Louvier,soh-fee / loo-vee-ay,Female,[],24,Ghislain Louvier,"""Leda""",4,Queen,"""wisdom"" / ""wolf hunter""",[],12,2026-03-19 18:21:34.692405+00,
25,Irén Lovassy,ee-reen loh-vah-shee,Female,[],246,Endre I Lovassy,Mathilde Hirschfeld,5,Princess,"""peace"" / ""of the horsekeepers""",[],5,2026-03-19 18:21:34.692405+00,
26,Jolánta Lovassy,yoh-lan-tah loh-vah-shee,Female,[],247,Endre I Lovassy,Mathilde Hirschfeld,5,Queen,"""violet (flower)"" / ""of the horsekeepers""",[],14,2026-03-19 18:21:34.692405+00,
27,Anselm Lovassy,ahn-selm loh-vah-shee,Male,[],248,Endre I Lovassy,Mathilde Hirschfeld,5,Prince,"""God's protection"" / ""of the horsekeepers""",[],5,2026-03-19 18:21:34.692405+00,
28,Radulf Geyersberg,rah-doolf gy-rrs-brrg,Male,[],253,,,14,King,"""wolf counsel"" / ""mountain of vultures""",[],14,2026-03-19 18:21:34.692405+00,
32,Constance Louvier,con-stahnce / loo-vee-ay,Female,[],342,Samson Louvier,Blandine Dupuis,,Queen,"""steadfast"" / ""wolf hunter""",[],,2026-03-19 18:21:34.692405+00,
34,Lucien Louvier,loo-see-ehn / loo-vee-ay,Male,[],46,Ghislain Louvier,"""Leda""",4,Prince,"""light"" / ""wolf hunter""",[],4,2026-03-19 18:21:34.692405+00,
35,Amour Louvier,ah-morr / loo-vee-ay,Male,[],47,"""Zeus""","""Leda""",4,Prince,"""love"" / ""wolf hunter""",[],4,2026-03-19 18:21:34.692405+00,
37,"""Oenone"" Vizy",vee-zee,Female,[],350,Gábor Vizy,,7,Citizen,"""of the water""",[],7,2026-03-19 18:21:34.692405+00,
42,Helewine Hirschfeld,heh-leh-vee-nah hrrsh-fehld,Female,[],355,,,15,Princess,"""blessed friend"" / ""field of stags""",[],5,2026-03-19 18:21:34.692405+00,
43,Eszter Vizy,est-air vee-zee,Female,[],356,Gábor Vizy,,7,Citizen,"""star"" / ""of the water""",[],7,2026-03-19 18:21:34.692405+00,
44,Folke Hundslund,fohl-keh / hoon-sluhn,Male,[],44,,,3,King,"""people"" / ""grove of dogs""",[],3,2026-03-19 18:21:34.692405+00,
45,Ulla Hundslund,oo-lah / hoon-sluhn,Female,[],358,Folke Hundslund,Angharad Ladrini,3,Queen,"""heritage"" / ""grove of dogs""",[],6,2026-03-19 18:21:34.692405+00,
46,Sven Hundslund,svehn / hoon-sluhn,Male,[],359,Oliver Hundslund,Penelope Louvier,3,Prince,"""young warrior"" / ""grove of dogs""",[],3,2026-03-19 18:21:34.692405+00,
