id,title,summary,subtitle,timestamp,update_time
1,Aethiopis,"Following Hector's death, Priam summons Penthesilea and Memnon to defend Troy. Achilles kills both and several others during a grief-stricken rampage. His rampage ends when Paris strikes him with an arrow blessed by Apollo.",Arctinus of Miletus,2026-03-19 19:10:45.655706+00,2026-03-30 18:54:30.203+00
2,Iliad,,Homer,2026-03-19 19:10:45.655706+00,
3,Little Iliad,,Lesches of Pyrrha,2026-03-19 19:10:45.655706+00,
4,Iliou Persis,,Arctinus of Miletus,2026-03-19 19:10:45.655706+00,
5,Calydonian Boar Hunt,,"Ovid's ""Metamorphoses"" (Book 8)",2026-03-19 19:10:45.655706+00,
6,Oresteia,"Clytemnestra and Aegisthus murder Agamemnon when he returns from Troy with Cassandra. Years later, Orestes avenges Agamemnon by murdering Clytemnestra and Aegisthus. He soon seeks judgment in Athens where Athena establishes a court replacing personal vengeance with civic justice.",Aeschylus,2026-03-19 19:10:45.655706+00,
7,Life of Theseus (Downfall),,"Plutarch's ""Parallel Lives""",2026-03-19 19:10:45.655706+00,
8,Rape of Philomela,,"Ovid's ""Metamorphoses"" (Book 6)",2026-03-19 19:10:45.655706+00,
9,Hippocoöntids,,"Pausanias' ""Description of Greece"" (Book 3)",2026-03-19 19:10:45.655706+00,
10,Odyssey,,Homer,2026-03-19 19:10:45.655706+00,
