id,name,founder,location,primary_gov,secondary_gov,economy,religion,kingdom_id,type
1,Troy,"Ilus, son of Dardanian king Tros and naiad Callirrhoe","Troad, Anatolia","As tribal monarchies, then as a bureaucratic monarchy, then as tribal monarchies.","Lacked formal advisory councils, but likely relied on aristocratic elders for guidance.",,"Apollo, the god light, prophecy, and healing.",1,Greek
2,Hungary,"Árpád, son of Magyar prince Álmos and an unknown mother",Central Europe,"As a tribal monarchy, then as a feudal monarchy, then as a feudal oligarchy, then as a feudal monarchy.","The Royal Council (“királyi tanács”), then by the Royal Chancellery (“királyi kancellária”), the Council of Lords (“főrendek tanácsa”), and the National Assembly (“országgyülés”). The Council of Lords later became the House of Magnates (“főrendiház”).",,"Paganism, then converted to Roman Catholicism.",1,Medieval
3,Sparta,"Lacedaemon, son of sky god Zeus and pleiad Taygete","Laconia, Greece","As tribal monarchies, then as a diarchy. As the diarchy, each king descended from the Agiads or the Eurypontids.","The Assembly (“Apella”), the Council of Elders (“Gerousia”), and the Overseers (“Ephorate”). The Assembly elected Elders for life and Overseers annually.","Exported olive oil, wine, pottery, grain, iron, copper, bronze, wool, and leather. Imported tin and timber.","Zeus, the god of thunder, law, and the sky.",2,Greek
4,France,"Clovis, son of Salian Frankish king Childeric and Thuringian queen Basina",Western Europe,"As a feudal monarchy, then as an absolute monarchy, then as a mixed republic.",,,"Roman Catholicism, then converted to Protestantism.",2,Medieval
5,Athens,"Cecrops, a half-serpent born from the ground","Attica, Greece","As tribal monarchies, then as an aristocratic oligarchy, then as a direct democracy.","The Assembly (“ekklesia”) and the Council of 500 (“boule”). The Assembly was open to male citizens, while the Council had 500 elected representatives from 10 local tribes.","Exported olive oil, wine, pottery, silver, lead, and bronze. Imported grain, timber, copper, tin, iron, wool, leather, fish, and slaves.","Athena, the goddess of wisdom, strategy, and war.",3,Greek
6,Wales,"Rhodri, son of Gwyneddwyr king Merfyn and Powyswyr princess Nest","Great Britain, Europe","As tribal monarchies, then as a semi-feudal monarchy, then as a feudal principality under England.","The Royal Court (“ilys”), then by the Prince’s Council (“cyngor y tywysog”). English conquest led to the Council of Wales (“cyngor cymru a’r gororau”).",,"Paganism, then converted to Roman Catholicism.",3,Medieval
7,Ithaca,"Arcesius, son of Phocian king Cephalus and Athenian princess Procris","the Ionian Islands, Greece","As tribal semi-monarchies, then as a semi-aristocratic monarchy.","Lacked formal advisory councils, but likely relied on aristocratic elders for guidance.",,"Athena, the goddess of wisdom, war, and strategy.",4,Greek
8,Denmark,"Harald Bluetooth, son of Danish king Gorm and Danish princess Thyra",Northern Europe,,,,,4,Medieval
13,Thrace,"Thrax, son of war god Ares and an unknown mother","the Balkans, Europe","As tribal semi-monarchies, then as a tribal monarchy, then as an imperial province under Rome.","Lacked formal advisory councils, but likely relied on aristocratic elders for governance.",,"Bendis, the goddess of the moon and hunting; like Artemis.",7,Greek
14,Holy Roman Empire,"Charlemagne, son of Austrasian Frankish king Pepin the Short and Austrasian Frankish noblewoman Bertrada",Central Europe,,,,,7,Medieval
15,Mycenae,"Perseus, son of sky god Zeus and Argive princess Danaë","Argolis, Greece","As tribal monarchies, then as an aristocratic monarchy, then as a bureaucratic monarchy.","Lacked formal advisory councils, but likely relied on government administrators and aristocratic elders for guidance.",,"Poseidon, the god of earthquakes, oceans, and horses.",8,Greek
16,England,"Aethelstan, son of Anglo-Saxon king Edward the Elder and Anglo-Saxon noblewoman Ecgwynn","Great Britain, Europe",,,,,8,Medieval
